date,festival,kind,venue,tier,evidence,source_url
2023-04-04,Teppotsavam,announced_dates,unspecified,minor,KRT TEPPOTSAVAMS FROM APRIL 3-5 _ ఏప్రిల్‌ 3 నుండి 5వ తేదీ వరకు శ్రీ కోదండ రాముని తెప్పోత్సవాలు,https://news.tirumala.org/krt-teppotsavams-from-april-3-5-_-%e0%b0%8f%e0%b0%aa%e0%b1%8d%e0%b0%b0%e0%b0%bf%e0%b0%b2%e0%b1%8d-3-%e0%b0%a8%e0%b1%81%e0%b0%82%e0%b0%a1%e0%b0%bf-5%e0%b0%b5-%e0%b0%a4%e0%b1%87%e0%b0%a6/
2023-04-04,Vasanthotsavam,announced_dates,tirumala,minor,ANNUAL SPRING FESTIVAL- VASANTHOTSAVAMS IN TIRUMALA FROM APRIL 3-5,https://news.tirumala.org/%e0%b0%8f%e0%b0%aa%e0%b1%8d%e0%b0%b0%e0%b0%bf%e0%b0%b2%e0%b1%8d-3-%e0%b0%a8%e0%b1%81%e0%b0%82%e0%b0%a1%e0%b0%bf-5%e0%b0%b5-%e0%b0%a4%e0%b1%87%e0%b0%a6%e0%b1%80-%e0%b0%b5%e0%b0%b0%e0%b0%95/
2023-04-05,Teppotsavam,same_day_report,unspecified,minor,TEPPOTSAVAMS CONCLUDES,https://news.tirumala.org/%e0%b0%b5%e0%b1%88%e0%b0%ad%e0%b0%b5%e0%b0%82%e0%b0%97%e0%b0%be-%e0%b0%ae%e0%b1%81%e0%b0%97%e0%b0%bf%e0%b0%b8%e0%b0%bf%e0%b0%a8-%e0%b0%b6%e0%b1%8d%e0%b0%b0%e0%b1%80-%e0%b0%95%e0%b1%8b%e0%b0%a6/
2023-04-05,Vasanthotsavam,same_day_report,unspecified,minor,VASANTHOTSAVAM CONCLUDES ON A GRAND RELIGIOUS NOTE _ వైభవంగా ముగిసిన శ్రీవారి సాలకట్ల వసంతోత్సవాలు,https://news.tirumala.org/vasanthotsavam-concludes-on-a-grand-religious-note-_-%e0%b0%b5%e0%b1%88%e0%b0%ad%e0%b0%b5%e0%b0%82%e0%b0%97%e0%b0%be-%e0%b0%ae%e0%b1%81%e0%b0%97%e0%b0%bf%e0%b0%b8%e0%b0%bf%e0%b0%a8-%e0%b0%b6/
2023-04-06,Garuda Seva,same_day_report,unspecified,minor,POURNAMI GARUDA SEVA HELD,https://news.tirumala.org/pournami-garuda-seva-held-_-%e0%b0%b6%e0%b1%8d%e0%b0%b0%e0%b1%80%e0%b0%b5%e0%b0%be%e0%b0%b0%e0%b0%bf-%e0%b0%86%e0%b0%b2%e0%b0%af%e0%b0%82%e0%b0%b2%e0%b1%8b-%e0%b0%b5%e0%b1%88%e0%b0%ad%e0%b0%b5/
2023-05-03,Vasanthotsavam,same_day_report,unspecified,minor,ANKURARPANA HELD FOR VASANTHOTSAVAMS _ శ్రీ పద్మావతి అమ్మవారి వసంతోత్సవాలకు శాస్త్రోక్తంగా అంకురార్పణ,https://news.tirumala.org/ankurarpana-held-for-vasanthotsavams-_-%e0%b0%b6%e0%b1%8d%e0%b0%b0%e0%b1%80-%e0%b0%aa%e0%b0%a6%e0%b1%8d%e0%b0%ae%e0%b0%be%e0%b0%b5%e0%b0%a4%e0%b0%bf-%e0%b0%85%e0%b0%ae%e0%b1%8d%e0%b0%ae%e0%b0%b5/
2023-05-04,Brahmotsavams,announced_dates,unspecified,major,NAGALAPURAM BRAHMOTSAVAMS FROM MAY 4-12 _ మే 4 నుండి 12వ తేదీ వరకు నాగలాపురం శ్రీ వేదనారాయణస్వామివారి వార్షిక బ్రహ్మోత్సవాలు,https://news.tirumala.org/%e0%b0%ae%e0%b1%87-4-%e0%b0%a8%e0%b1%81%e0%b0%82%e0%b0%a1%e0%b0%bf-12%e0%b0%b5-%e0%b0%a4%e0%b1%87%e0%b0%a6%e0%b1%80-%e0%b0%b5%e0%b0%b0%e0%b0%95%e0%b1%81-%e0%b0%a8%e0%b0%be%e0%b0%97%e0%b0%b2%e0%b0%be/
2023-05-04,Vasanthotsavam,same_day_report,unspecified,minor,VASANTHOTSAVAM COMMENCES,https://news.tirumala.org/vasanthotsavam-commences-_-%e0%b0%a4%e0%b0%bf%e0%b0%b0%e0%b1%81%e0%b0%9a%e0%b0%be%e0%b0%a8%e0%b1%82%e0%b0%b0%e0%b1%81-%e0%b0%b6%e0%b1%8d%e0%b0%b0%e0%b1%80-%e0%b0%aa%e0%b0%a6%e0%b1%8d%e0%b0%ae-2/
2023-05-05,Brahmotsavams,announced_dates,unspecified,major,NAGALAPURAM BRAHMOTSAVAMS FROM MAY 4-12 _ మే 4 నుండి 12వ తేదీ వరకు నాగలాపురం శ్రీ వేదనారాయణస్వామివారి వార్షిక బ్రహ్మోత్సవాలు,https://news.tirumala.org/%e0%b0%ae%e0%b1%87-4-%e0%b0%a8%e0%b1%81%e0%b0%82%e0%b0%a1%e0%b0%bf-12%e0%b0%b5-%e0%b0%a4%e0%b1%87%e0%b0%a6%e0%b1%80-%e0%b0%b5%e0%b0%b0%e0%b0%95%e0%b1%81-%e0%b0%a8%e0%b0%be%e0%b0%97%e0%b0%b2%e0%b0%be/
2023-05-05,Garuda Seva,same_day_report,unspecified,minor,POURNAMI GARUDA SEVA HELD _ శ్రీవారి ఆలయంలో వైభవంగా పౌర్ణమి గరుడ సేవ,https://news.tirumala.org/pournami-garuda-seva-held-_-%e0%b0%b6%e0%b1%8d%e0%b0%b0%e0%b1%80%e0%b0%b5%e0%b0%be%e0%b0%b0%e0%b0%bf-%e0%b0%86%e0%b0%b2%e0%b0%af%e0%b0%82%e0%b0%b2%e0%b1%8b-%e0%b0%b5%e0%b1%88%e0%b0%ad%e0%b0%b5-2/
