darshan_date,pilgrims,post_id,post_datetime,date_source,darshan_wait_hours,waiting_compartments,title,link
2018-03-08,36246,56677,2018-03-08 18:21:06,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 24 Compartments / 6 Hours, Specia","About 36,246 pilgrims had Srivari darshan from 3am to 6pm on March 8",https://news.tirumala.org/about-36246-pilgrims-had-srivari-darshan-from-3am-to-6pm-on-march-8/
2018-03-09,33997,56689,2018-03-09 19:01:19,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 25 Compartments / 7 Hours, Specia","About 33,997 pilgrims had Srivari darshan from 3am to 6pm on March 9",https://news.tirumala.org/sarva-darshan-free-darshan-25-compartments-7-hours-special-entry-darshan-rs-300-darshan-direct-3/
2018-03-10,48292,56720,2018-03-10 18:15:23,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 27 Compartments / 8 Hours, Specia","About 48,292 pilgrims had Srivari darshan from 3am to 6pm on March 10",https://news.tirumala.org/about-48292-pilgrims-had-srivari-darshan-from-3am-to-6pm-on-march-10/
2018-03-11,50337,56756,2018-03-11 19:03:16,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 27 Compartments / 12 Hours, Speci","About 50,337 pilgrims had Srivari darshan from 3am to 6pm on March 11",https://news.tirumala.org/about-50337-pilgrims-had-srivari-darshan-from-3am-to-6pm-on-march-11/
2018-03-12,47649,56783,2018-03-12 18:27:23,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 29 Compartments / 10 Hours, Speci","About 47,649 pilgrims had Srivari darshan from 3am to 6pm on March 12",https://news.tirumala.org/sarva-darshan-free-darshan-29-compartments-10-hours-special-entry-darshan-rs-300-darshan-direct/
2018-03-13,41302,56866,2018-03-13 18:27:15,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 31 Compartments / 10 Hours, Speci","About 41,302 pilgrims had Srivari darshan from 3am to 6pm on March 13",https://news.tirumala.org/sarva-darshan-free-darshan-31-compartments-10-hours-special-entry-darshan-rs-300-darshan-direct/
2018-03-14,42065,56936,2018-03-14 18:40:45,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 31 Compartments / 10 Hours, Speci","About 42,065 pilgrims had Srivari darshan from 3am to 6pm on March 14",https://news.tirumala.org/sarva-darshan-free-darshan-31-compartments-10-hours-special-entry-darshan-rs-300-darshan-direct-2/
2018-03-15,43685,56992,2018-03-15 19:27:36,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 29 Compartments / 9 Hours, Specia","About 43,685 pilgrims had Srivari darshan from 3am to 6pm on March 15",https://news.tirumala.org/sarva-darshan-free-darshan-29-compartments-9-hours-special-entry-darshan-rs-300-darshan-direct/
2018-03-16,40129,57041,2018-03-16 18:39:50,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 20 Compartments / 7 Hours, Specia","About 40,129 pilgrims had Srivari darshan from 3am to 6pm on March 16",https://news.tirumala.org/sarva-darshan-free-darshan-20-compartments-7-hours-special-entry-darshan-rs-300-darshan-direct-2/
2018-03-17,49891,57100,2018-03-17 18:09:59,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 11 Compartments / 5 Hours, Specia","About 49,891 pilgrims had Srivari darshan from 3am to 6pm on March 17",https://news.tirumala.org/sarva-darshan-free-darshan-11-compartments-5-hours-special-entry-darshan-rs-300-darshan-direct/
